id;date;description;amount
1;2015-08-05T06:47:19;Fresh Investment Account;71619
2;2015-08-04T13:10:17;primary;60912
3;2015-08-05T03:45:55;Profound JSON;16824
4;2015-08-04T20:40:55;calculating encompassing;51711
5;2015-08-05T06:34:26;Refined Concrete Mouse;24864
6;2015-08-04T15:40:52;Kazakhstan Bedfordshire web-readiness;4551
7;2015-08-05T12:25:55;Fantastic Fresh Towels eco-centric convergence;30032
8;2015-08-04T23:00:25;Grocery Home Loan Account;51414
9;2015-08-04T13:34:45;Marketing deposit invoice;14407
10;2015-08-04T19:27:21;Rubber;62176
